DATE,USSTHPI
1999-01-01,221.8675000000000000
2000-01-01,236.0650000000000000
2001-01-01,253.7175000000000000
2002-01-01,269.7875000000000000
2003-01-01,286.6150000000000000
2004-01-01,313.5025000000000000
2005-01-01,349.0850000000000000
2006-01-01,374.0850000000000000
2007-01-01,378.2500000000000000
2008-01-01,358.8525000000000000
2009-01-01,338.9375000000000000
2010-01-01,325.1050000000000000
2011-01-01,312.5800000000000000
2012-01-01,311.7700000000000000
2013-01-01,323.5350000000000000
2014-01-01,339.7900000000000000
2015-01-01,357.3025000000000000
2016-01-01,376.0600000000000000
2017-01-01,396.5950000000000000
2018-01-01,418.6225000000000000
2019-01-01,437.9575000000000000
2020-01-01,460.4575000000000000
2021-01-01,523.1800000000000000
