DATE,DFF
1993-01-01,3.0213424657534247
1994-01-01,4.2063287671232877
1995-01-01,5.8343013698630137
1996-01-01,5.3004644808743169
1997-01-01,5.4615068493150685
1998-01-01,5.3509315068493151
1999-01-01,4.9723561643835616
2000-01-01,6.2374316939890710
2001-01-01,3.8783561643835616
2002-01-01,1.6667945205479452
2003-01-01,1.1264931506849315
2004-01-01,1.3503278688524590
2005-01-01,3.2170684931506849
2006-01-01,4.9654246575342466
2007-01-01,5.0173150684931507
2008-01-01,1.9241803278688525
2009-01-01,0.15860273972602739726
2010-01-01,0.17624657534246575342
2011-01-01,0.10150684931506849315
2012-01-01,0.14057377049180327869
2013-01-01,0.10734246575342465753
2014-01-01,0.08849315068493150685
2015-01-01,0.13372602739726027397
2016-01-01,0.39319672131147540984
2017-01-01,1.0029589041095890
2018-01-01,1.8349315068493151
2019-01-01,2.1572602739726027
2020-01-01,0.37224043715846994536
2021-01-01,0.07868493150684931507
2022-01-01,.
